City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
233,nikolayevsk-on-amure,17.2706,-100.8939,80.46,60,100,2.37,MX,1702525789
234,nikolayevsk-on-amure,59.5833,151.2833,9.59,73,100,16.13,RU,1702525546
235,nikolayevsk-on-amure,19.9333,-105.25,74.25,58,100,2.13,MX,1702525909
236,nikolayevsk-on-amure,-8.112,115.0882,85.28,72,79,3.69,ID,1702526021
237,nikolayevsk-on-amure,37.4747,57.329,42.75,75,100,2.3,IR,1702525913
238,nikolayevsk-on-amure,47.5649,-52.7093,37.98,90,100,11.5,CA,1702525762
239,nikolayevsk-on-amure,52.6481,1.7265,40.98,80,99,8.23,GB,1702526275
240,nikolayevsk-on-amure,51.3607,1.0257,41.97,93,93,5.01,GB,1702526277
241,nikolayevsk-on-amure,62.0961,77.475,5.97,96,100,7.7,RU,1702526278
242,nikolayevsk-on-amure,25.4167,-102.1833,54.81,71,100,14.23,MX,1702526279
243,nikolayevsk-on-amure,18.25,-70.2,75.47,80,77,18.61,DO,1702526280
244,nikolayevsk-on-amure,-1.195,-46.02,79.72,78,8,8.61,BR,1702525920
245,nikolayevsk-on-amure,31.128,-92.0662,57.25,64,100,7.92,US,1702526283
246,nikolayevsk-on-amure,62.0989,126.6992,-12.01,96,100,7.07,RU,1702525905
247,nikolayevsk-on-amure,6.964,158.206,89.6,66,40,6.91,FM,1702525755
248,nikolayevsk-on-amure,-23.1333,150.7333,89.38,59,20,13.04,AU,1702526287
249,nikolayevsk-on-amure,25.3628,49.725,57.74,50,0,14.47,SA,1702526288
250,nikolayevsk-on-amure,34.37,73.4711,56.91,25,6,3.22,PK,1702526289
251,nikolayevsk-on-amure,56.8619,35.8931,15.3,94,100,10.0,RU,1702525995
252,nikolayevsk-on-amure,64.5401,40.5433,14.13,92,100,8.95,RU,1702526292
253,nikolayevsk-on-amure,-20.7333,139.5,101.97,29,40,13.8,AU,1702525811
254,nikolayevsk-on-amure,-33.0117,17.9442,59.05,74,95,16.35,ZA,1702525783
255,nikolayevsk-on-amure,49.9168,-74.3659,10.02,85,100,8.05,CA,1702525788
256,nikolayevsk-on-amure,10.1664,40.6453,75.13,62,74,11.86,ET,1702526296
257,nikolayevsk-on-amure,35.389,5.3658,52.07,67,100,13.35,DZ,1702526297
258,nikolayevsk-on-amure,48.5872,57.1869,10.08,38,100,19.1,KZ,1702526299
259,nikolayevsk-on-amure,49.4169,-82.4331,8.69,92,100,8.05,CA,1702525754
260,nikolayevsk-on-amure,-27.6333,-62.4167,89.85,44,93,14.18,AR,1702526301
261,nikolayevsk-on-amure,-0.1934,-74.7819,73.8,98,88,0.87,CO,1702526302
262,nikolayevsk-on-amure,-35.7317,174.3239,70.74,50,5,9.69,NZ,1702526304
263,nikolayevsk-on-amure,38.08,46.2919,35.06,100,75,0.0,IR,1702526305
264,nikolayevsk-on-amure,20.9219,-156.3051,75.22,72,20,14.97,US,1702525759
265,nikolayevsk-on-amure,67.6803,53.1512,6.4,96,98,6.89,RU,1702525744
266,nikolayevsk-on-amure,48.4329,-123.4859,47.37,80,100,12.66,CA,1702526308
267,nikolayevsk-on-amure,4.8845,-1.7554,78.69,73,0,4.41,GH,1702526309
268,nikolayevsk-on-amure,63.9331,-20.9971,38.05,91,97,31.36,IS,1702525792
269,nikolayevsk-on-amure,-42.7826,147.0587,71.92,84,90,12.26,AU,1702525752
270,nikolayevsk-on-amure,10.2753,170.8646,81.23,84,100,24.2,MH,1702525788
271,nikolayevsk-on-amure,-15.8631,-38.8828,74.77,80,91,3.04,BR,1702525947
